 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +9.1500000000000000E+01	  +2.1207492620939036E+01	
  +9.1750000000000000E+01	  +2.1167824487453139E+01	
  +9.2000000000000000E+01	  +2.2100920187414168E+01	
  +9.2250000000000000E+01	  +2.2014274972392062E+01	
  +9.2500000000000000E+01	  +2.0929374286044435E+01	
  +9.2750000000000000E+01	  +2.0877210214808645E+01	
  +9.3000000000000000E+01	  +2.1583259776109401E+01	
  +9.3250000000000000E+01	  +2.2278986369906097E+01	
  +9.3500000000000000E+01	  +2.2234864164651320E+01	
  +9.3750000000000000E+01	  +2.2214314260466082E+01	
  +9.4000000000000000E+01	  +2.1255000377905954E+01	
  +9.4250000000000000E+01	  +2.0165649880708344E+01	
  +9.4500000000000000E+01	  +2.0020588299062929E+01	
  +9.4750000000000000E+01	  +2.0019870559612361E+01	
  +9.5000000000000000E+01	  +2.0806627725043430E+01	
  +9.5250000000000000E+01	  +2.1598453228452545E+01	
  +9.5500000000000000E+01	  +2.1630146714148939E+01	
  +9.5750000000000000E+01	  +2.1657603083064028E+01	
  +9.6000000000000000E+01	  +2.2303929760151224E+01	
  +9.6250000000000000E+01	  +2.2936346579352637E+01	
  +9.6500000000000000E+01	  +2.2922412906053673E+01	
  +9.6750000000000000E+01	  +2.2909508335443562E+01	
  +9.7000000000000000E+01	  +2.3398599892499501E+01	
  +9.7250000000000000E+01	  +2.3885900559330253E+01	
  +9.7500000000000000E+01	  +2.3871246258357917E+01	
  +9.7750000000000000E+01	  +2.3861675126584075E+01	
  +9.8000000000000000E+01	  +2.4277728972524041E+01	
  +9.8250000000000000E+01	  +2.4696377602589429E+01	
  +9.8500000000000000E+01	  +2.4695979207933114E+01	
  +9.8750000000000000E+01	  +2.4680013928151780E+01	
  +9.9000000000000000E+01	  +2.4988223132525786E+01	
  +9.9250000000000000E+01	  +2.5277651556028413E+01	
  +9.9500000000000000E+01	  +2.5210388146393260E+01	
  +9.9750000000000000E+01	  +2.5161914381890909E+01	
  +1.0000000000000000E+02	  +2.5462549934155643E+01	
  +1.0025000000000000E+02	  +4.8241471712520642E+01	
  +1.0050000000000000E+02	  +7.1522916493810683E+01	
  +1.0075000000000000E+02	  +7.2360443310315489E+01	
  +1.0100000000000000E+02	  +7.1074501169348693E+01	
  +1.0125000000000000E+02	  +7.1329379278599930E+01	
  +1.0150000000000000E+02	  +7.3073133028096464E+01	
  +1.0175000000000000E+02	  +7.3244639096330701E+01	
  +1.0200000000000000E+02	  +7.1173248364817312E+01	
  +1.0225000000000000E+02	  +7.5931245597122995E+01	
  +1.0250000000000000E+02	  +8.2703513558998210E+01	
  +1.0275000000000000E+02	  +8.2613008734240950E+01	
  +1.0300000000000000E+02	  +8.0980351539570350E+01	
  +1.0325000000000000E+02	  +7.9389185109289301E+01	
  +1.0350000000000000E+02	  +7.9378465799325184E+01	
  +1.0375000000000000E+02	  +7.9326819844518056E+01	
  +1.0400000000000000E+02	  +7.7961726535690147E+01	
  +1.0425000000000000E+02	  +7.6499196972747328E+01	
  +1.0450000000000000E+02	  +7.6142965577171424E+01	
  +1.0475000000000000E+02	  +7.6144281958624816E+01	
  +1.0500000000000000E+02	  +7.6084154256365906E+01	
  +1.0525000000000000E+02	  +7.5957653631191377E+01	
  +1.0550000000000000E+02	  +7.6246658666403945E+01	
  +1.0575000000000000E+02	  +7.4970730286551841E+01	
  +1.0600000000000000E+02	  +7.1799625038797018E+01	
  +1.0625000000000000E+02	  +7.0040075685867251E+01	
  +1.0650000000000000E+02	  +6.9488797961323016E+01	
  +1.0675000000000000E+02	  +6.9399475339663937E+01	
  +1.0700000000000000E+02	  +6.7719317998348203E+01	
  +1.0725000000000000E+02	  +6.5369512327120532E+01	
  +1.0750000000000000E+02	  +6.4641029220587598E+01	
  +1.0775000000000000E+02	  +6.4418217654758237E+01	
  +1.0800000000000000E+02	  +6.3698180949667332E+01	
  +1.0825000000000000E+02	  +6.2607841981723205E+01	
  +1.0850000000000000E+02	  +6.2534291546973208E+01	
  +1.0875000000000000E+02	  +6.2337188145599058E+01	
  +1.0900000000000000E+02	  +6.1257750072491085E+01	
  +1.0925000000000000E+02	  +6.0042727592983312E+01	
  +1.0950000000000000E+02	  +6.0120187179400446E+01	
  +1.0975000000000000E+02	  +6.0055437866903489E+01	
  +1.1000000000000000E+02	  +5.9395470252961353E+01	
  +1.1025000000000000E+02	  +5.9809201903200965E+01	
  +1.1050000000000000E+02	  +6.0043467442924147E+01	
  +1.1075000000000000E+02	  +5.9997707008148957E+01	
  +1.1100000000000000E+02	  +6.0466461803069826E+01	
  +1.1125000000000000E+02	  +6.0307352430615005E+01	
  +1.1150000000000000E+02	  +6.0231480369124704E+01	
  +1.1175000000000000E+02	  +6.1964937111872807E+01	
  +1.1200000000000000E+02	  +6.2606524561433581E+01	
  +1.1225000000000000E+02	  +6.2113235162003548E+01	
  +1.1250000000000000E+02	  +6.3519191303036742E+01	
  +1.1275000000000000E+02	  +6.4458813618246865E+01	
  +1.1300000000000000E+02	  +6.4287262919946286E+01	
  +1.1325000000000000E+02	  +6.4713902976573209E+01	
  +1.1350000000000000E+02	  +6.5961274235140507E+01	
  +1.1375000000000000E+02	  +6.5722127912049416E+01	
  +1.1400000000000000E+02	  +6.5314367455113754E+01	
  +1.1425000000000000E+02	  +6.5598767008823657E+01	
  +1.1450000000000000E+02	  +6.5318563326420119E+01	
  +1.1475000000000000E+02	  +6.5378226303947145E+01	
  +1.1500000000000000E+02	  +4.2166837766887312E+01	
  +1.1525000000000000E+02	  +1.8336737221330687E+01	
  +1.1550000000000000E+02	  +1.7764176287617477E+01	
  +1.1575000000000000E+02	  +1.7769550600818715E+01	
  +1.1600000000000000E+02	  +1.8723074690449671E+01	
  +1.1625000000000000E+02	  +1.8660205548781217E+01	
  +1.1650000000000000E+02	  +1.7641819926598295E+01	
  +1.1675000000000000E+02	  +1.7631662444417209E+01	
  +1.1700000000000000E+02	  +1.8394807249555882E+01	
  +1.1725000000000000E+02	  +1.9135639924965254E+01	
  +1.1750000000000000E+02	  +1.9079164488510443E+01	
  +1.1775000000000000E+02	  +1.9037723605467377E+01	
  +1.1800000000000000E+02	  +1.8164111011750034E+01	
  +1.1825000000000000E+02	  +1.7199609181877516E+01	
