 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +1.1000000000000000E+02	  +3.6644188954525880E+01	
  +1.1025000000000000E+02	  +3.6719984934307519E+01	
  +1.1050000000000000E+02	  +3.7316659569056377E+01	
  +1.1075000000000000E+02	  +3.7701953658997297E+01	
  +1.1100000000000000E+02	  +3.7571768387750346E+01	
  +1.1125000000000000E+02	  +3.7541326909363562E+01	
  +1.1150000000000000E+02	  +3.7859619875289042E+01	
  +1.1175000000000000E+02	  +3.8114203647291667E+01	
  +1.1200000000000000E+02	  +3.8550687604158583E+01	
  +1.1225000000000000E+02	  +3.9454160970086761E+01	
  +1.1250000000000000E+02	  +4.0717001150893836E+01	
  +1.1275000000000000E+02	  +4.1570129055339329E+01	
  +1.1300000000000000E+02	  +4.2114520422947820E+01	
  +1.1325000000000000E+02	  +4.2540748833772447E+01	
  +1.1350000000000000E+02	  +4.2782110908040181E+01	
  +1.1375000000000000E+02	  +4.3015466447493445E+01	
  +1.1400000000000000E+02	  +4.3392456211723108E+01	
  +1.1425000000000000E+02	  +4.3718224938695407E+01	
  +1.1450000000000000E+02	  +4.3798150012978461E+01	
  +1.1475000000000000E+02	  +4.3846565325245102E+01	
  +1.1500000000000000E+02	  +2.6086740982277110E+01	
  +1.1525000000000000E+02	  +8.2217102499326469E+00	
  +1.1550000000000000E+02	  +8.1474055628655488E+00	
  +1.1575000000000000E+02	  +8.1545568940333517E+00	
  +1.1600000000000000E+02	  +8.3280628051102692E+00	
  +1.1625000000000000E+02	  +7.4807680068279323E+00	
  +1.1650000000000000E+02	  +6.4638583046149316E+00	
  +1.1675000000000000E+02	  +6.4555373162238938E+00	
  +1.1700000000000000E+02	  +6.5176701884304151E+00	
  +1.1725000000000000E+02	  +6.5668039679552725E+00	
  +1.1750000000000000E+02	  +6.5279934909566544E+00	
  +1.1775000000000000E+02	  +6.4976383568130620E+00	
  +1.1800000000000000E+02	  +6.0406543807196043E+00	
  +1.1825000000000000E+02	  +5.5886221158506197E+00	
